Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,League Position,Promoted,Relegated,prev_season_points,prev_season_league,prev_season_position,prev_season_gd,promoted_from_championship
Tottenham,2022/2023,Premier League,38,12,1,6,37,25,6,5,8,33,38,18,6,14,70,63,60,7,8.0,0,0,71.0,Premier League,4.0,29.0,False
Brentford,2022/2023,Premier League,38,10,7,2,35,18,5,7,7,23,28,15,14,9,58,46,59,12,9.0,0,0,46.0,Premier League,13.0,-8.0,False
Bristol City,2022/2023,Championship,45,9,7,7,30,24,6,7,9,24,30,15,14,16,54,54,59,0,14.0,0,0,55.0,Championship,18.0,-16.0,False
Hull,2022/2023,Championship,45,8,6,8,22,26,5,10,8,27,34,13,16,16,49,60,55,-11,15.0,0,0,54.0,Championship,20.0,-12.0,False
Stoke,2022/2023,Championship,45,6,5,12,25,27,8,6,8,30,25,14,11,20,55,52,53,3,16.0,0,0,62.0,Championship,15.0,3.0,False
Huddersfield,2022/2023,Championship,45,9,6,7,26,24,5,5,13,21,37,14,11,20,47,61,53,-14,16.0,1,0,82.0,Championship,3.0,16.0,False
Fulham,2022/2023,Premier League,38,8,5,6,31,29,7,2,10,24,24,15,7,16,55,53,52,2,10.0,1,0,90.0,Championship,1.0,63.0,True
Birmingham,2022/2023,Championship,45,7,6,10,24,24,7,4,11,23,34,14,10,21,47,58,52,-11,18.0,0,0,48.0,Championship,21.0,-25.0,False
QPR,2022/2023,Championship,45,6,5,12,21,35,7,6,9,23,35,13,11,21,44,70,50,-26,19.0,0,0,66.0,Championship,11.0,0.0,False
Reading,2022/2023,Championship,45,10,8,5,31,24,3,3,16,15,43,13,11,21,46,67,50,-21,19.0,0,0,47.0,Championship,22.0,-34.0,False
Rotherham,2022/2023,Championship,45,9,5,8,36,29,2,11,10,12,30,11,16,18,48,59,49,-11,21.0,0,0,1.0,Championship,25.0,0.0,False
Cardiff,2022/2023,Championship,45,5,7,10,19,24,7,3,13,21,34,12,10,23,40,58,46,-18,22.0,0,0,56.0,Championship,17.0,-17.0,False
